ID,DATE,DAY,ID_WEEK_DAY,MONTH,ID_MONTH,YEAR,ID_QUARTER
126,2013-08-08,8,4,8,8,2013,3
127,2013-08-09,9,5,8,8,2013,3
128,2013-08-12,12,1,8,8,2013,3
129,2013-08-13,13,2,8,8,2013,3
130,2013-08-14,14,3,8,8,2013,3
131,2013-08-15,15,4,8,8,2013,3
132,2013-08-16,16,5,8,8,2013,3
133,2013-08-19,19,1,8,8,2013,3
134,2013-08-20,20,2,8,8,2013,3
135,2013-08-21,21,3,8,8,2013,3
136,2013-08-22,22,4,8,8,2013,3
137,2013-08-23,23,5,8,8,2013,3
138,2013-08-26,26,1,8,8,2013,3
139,2013-08-27,27,2,8,8,2013,3
140,2013-08-28,28,3,8,8,2013,3
141,2013-08-29,29,4,8,8,2013,3
142,2013-08-30,30,5,8,8,2013,3
143,2013-09-03,3,2,9,9,2013,3
144,2013-09-04,4,3,9,9,2013,3
145,2013-09-05,5,4,9,9,2013,3
146,2013-09-06,6,5,9,9,2013,3
147,2013-09-09,9,1,9,9,2013,3
148,2013-09-10,10,2,9,9,2013,3
149,2013-09-11,11,3,9,9,2013,3
150,2013-09-12,12,4,9,9,2013,3
151,2013-09-13,13,5,9,9,2013,3
152,2013-09-16,16,1,9,9,2013,3
153,2013-09-17,17,2,9,9,2013,3
154,2013-09-18,18,3,9,9,2013,3
155,2013-09-19,19,4,9,9,2013,3
156,2013-09-20,20,5,9,9,2013,3
157,2013-09-23,23,1,9,9,2013,3
158,2013-09-24,24,2,9,9,2013,3
159,2013-09-25,25,3,9,9,2013,3
160,2013-09-26,26,4,9,9,2013,3
161,2013-09-27,27,5,9,9,2013,3
162,2013-09-30,30,1,9,9,2013,3
163,2013-10-01,1,2,10,10,2013,4
164,2013-10-02,2,3,10,10,2013,4
165,2013-10-03,3,4,10,10,2013,4
166,2013-10-04,4,5,10,10,2013,4
167,2013-10-07,7,1,10,10,2013,4
168,2013-10-08,8,2,10,10,2013,4
169,2013-10-09,9,3,10,10,2013,4
170,2013-10-10,10,4,10,10,2013,4
171,2013-10-11,11,5,10,10,2013,4
172,2013-10-14,14,1,10,10,2013,4
173,2013-10-15,15,2,10,10,2013,4
174,2013-10-16,16,3,10,10,2013,4
175,2013-10-17,17,4,10,10,2013,4
176,2013-10-18,18,5,10,10,2013,4
177,2013-10-21,21,1,10,10,2013,4
178,2013-10-22,22,2,10,10,2013,4
179,2013-10-23,23,3,10,10,2013,4
180,2013-10-24,24,4,10,10,2013,4
181,2013-10-25,25,5,10,10,2013,4
182,2013-10-28,28,1,10,10,2013,4
183,2013-10-29,29,2,10,10,2013,4
184,2013-10-30,30,3,10,10,2013,4
185,2013-10-31,31,4,10,10,2013,4
186,2013-11-01,1,5,11,11,2013,4
187,2013-11-04,4,1,11,11,2013,4
188,2013-11-05,5,2,11,11,2013,4
189,2013-11-06,6,3,11,11,2013,4
190,2013-11-07,7,4,11,11,2013,4
191,2013-11-08,8,5,11,11,2013,4
192,2013-11-11,11,1,11,11,2013,4
193,2013-11-12,12,2,11,11,2013,4
194,2013-11-13,13,3,11,11,2013,4
195,2013-11-14,14,4,11,11,2013,4
196,2013-11-15,15,5,11,11,2013,4
197,2013-11-18,18,1,11,11,2013,4
198,2013-11-19,19,2,11,11,2013,4
