1,A,
2,AAL,
3,AAP,
4,AAPL,
5,ABBV,
6,ABC,
7,ABT,
8,ACN,
9,ADBE,
10,ADI,
11,ADM,
12,ADP,
13,ADS,
14,ADSK,
15,AEE,
16,AEP,
17,AES,
18,AET,
19,AFL,
20,AGN,
21,AIG,
22,AIV,
23,AIZ,
24,AJG,
25,AKAM,
26,ALB,
27,ALGN,
28,ALK,
29,ALL,
30,ALLE,
31,ALXN,
32,AMAT,
33,AMD,
34,AME,
35,AMG,
36,AMGN,
37,AMP,
38,AMT,
39,AMZN,
40,ANDV,
41,ANSS,
42,ANTM,
43,AON,
44,AOS,
45,APA,
46,APC,
47,APD,
48,APH,
49,APTV,
50,ARE,
51,ARNC,
52,ATVI,
53,AVB,
54,AVGO,
55,AVY,
56,AWK,
57,AXP,
58,AYI,
59,AZO,
60,BA,
61,BAC,
62,BAX,
63,BBT,
64,BBY,
65,BDX,
66,BEN,
67,BF.B,
68,BHF,
69,BHGE,
70,BIIB,
71,BK,
72,BLK,
73,BLL,
74,BMY,
75,BRK.B,
76,BSX,
77,BWA,
78,BXP,
79,C,
80,CA,
81,CAG,
82,CAH,
83,CAT,
84,CB,
85,CBG,
86,CBOE,
87,CBS,
88,CCI,
89,CCL,
90,CDNS,
91,CELG,
92,CERN,
93,CF,
94,CFG,
95,CHD,
96,CHK,
97,CHRW,
98,CHTR,
99,CI,
100,CINF,
101,CL,
102,CLX,
103,CMA,
104,CMCSA,
105,CME,
106,CMG,
107,CMI,
108,CMS,
109,CNC,
110,CNP,
111,COF,
112,COG,
113,COL,
114,COO,
115,COP,
116,COST,
117,COTY,
118,CPB,
119,CRM,
120,CSCO,
121,CSRA,
122,CSX,
123,CTAS,
124,CTL,
125,CTSH,
126,CTXS,
127,CVS,
128,CVX,
129,CXO,
130,D,
131,DAL,
132,DE,
133,DFS,
134,DG,
135,DGX,
136,DHI,
137,DHR,
138,DIS,
139,DISCA,
140,DISCK,
141,DISH,
142,DLR,
143,DLTR,
144,DOV,
145,DPS,
146,DRE,
147,DRI,
148,DTE,
149,DUK,
150,DVA,
151,DVN,
152,DWDP,
153,DXC,
154,EA,
155,EBAY,
156,ECL,
157,ED,
158,EFX,
159,EIX,
160,EL,
161,EMN,
162,EMR,
163,EOG,
164,EQIX,
165,EQR,
166,EQT,
167,ES,
168,ESRX,
169,ESS,
170,ETFC,
171,ETN,
172,ETR,
173,EVHC,
174,EW,
175,EXC,
176,EXPD,
177,EXPE,
178,EXR,
179,F,
180,FAST,
181,FB,
182,FBHS,
183,FCX,
184,FDX,
185,FE,
186,FFIV,
187,FIS,
188,FISV,
189,FITB,
190,FL,
191,FLIR,
192,FLR,
193,FLS,
194,FMC,
195,FOX,
196,FOXA,
197,FRT,
198,FTI,
199,FTV,
200,GD,
201,GE,
202,GGP,
