id_date,open,high,low,close,volume,id_stock,id_index
1,90.98,91.57,90.63,90.9,1652253,271,1
2,90.24,90.92,90.21,90.4,1837930,271,1
3,90.54,90.58,89.75,89.9,1961296,271,1
4,89.85,90.08,89.38,89.89,1889876,271,1
5,89.87,90.545,89.79,90.19,1813835,271,1
6,90.43,91.27,90.26,91.2,2202160,271,1
7,91.33,92.22,91.3101,92.21,2391553,271,1
8,92.21,92.67,91.73,91.74,2464757,271,1
9,91.51,92.27,91.13,91.86,1779436,271,1
10,91.88,94.51,91.8775,94.5,4713572,271,1
11,94.61,95.9,94.24,94.24,4724966,271,1
12,94.36,95.035,93.82,94.22,3877010,271,1
13,94.0,95.47,93.74,95.19,1838834,271,1
14,95.18,95.91,94.28,94.28,2814530,271,1
15,94.22,94.56,93.75,94.3,2323754,271,1
16,94.3,95.05,94.17,95.04,1566882,271,1
17,95.36,96.5,95.36,95.87,1919431,271,1
18,95.25,95.45,94.4,94.64,1661104,271,1
19,94.8,95.22,93.97,93.97,2030793,271,1
20,94.32,94.38,93.62,94.19,2315766,271,1
21,94.23,94.68,93.79,93.88,2222064,271,1
22,93.68,94.415,93.62,94.08,1919877,271,1
23,94.0,94.24,93.3,93.4,2113132,271,1
24,93.64,94.075,93.6,93.78,1874690,271,1
25,93.52,93.98,92.66,93.26,3313271,271,1
26,92.2,93.21,91.91,92.9,2171628,271,1
27,92.9,94.0,92.89,93.9,1862762,271,1
28,94.04,95.75,94.03,95.54,2748354,271,1
29,95.31,95.35,94.31,94.93,2710853,271,1
30,95.0,95.9,94.96,95.66,1702238,271,1
31,95.9,95.95,94.44,94.54,2852990,271,1
32,94.99,97.375,94.99,97.32,3397403,271,1
33,96.75,97.16,96.37,96.91,1949629,271,1
34,96.67,97.99,96.47,97.98,2361549,271,1
35,97.57,98.11,97.3,97.93,1558558,271,1
36,98.29,99.89,97.81,99.79,2590535,271,1
37,99.88,100.0,97.55,97.89,2766234,271,1
38,98.15,98.61,97.85,98.47,1818011,271,1
39,97.61,99.71,97.35,99.31,2859226,271,1
40,99.12,99.45,98.23,99.45,1424034,271,1
41,99.4,99.56,98.75,99.31,1551568,271,1
42,99.62,100.45,99.44,100.3,1726349,271,1
43,100.36,101.21,100.07,101.12,2230008,271,1
44,100.87,101.68,100.64,101.23,1384091,271,1
45,100.9,101.84,100.19,100.21,1778858,271,1
46,100.81,102.03,100.44,101.58,1739026,271,1
47,101.28,101.68,100.33,100.66,1850556,271,1
48,100.64,102.48,100.64,101.36,2618228,271,1
49,105.0,106.541,103.88,106.1,4551619,271,1
50,105.23,105.72,104.611,105.59,3502291,271,1
51,105.8,106.24,104.2601,105.49,4466375,271,1
52,105.16,105.4,103.31,103.4,3413430,271,1
53,104.13,104.13,103.32,103.46,2058342,271,1
54,103.55,104.09,102.98,103.12,2317916,271,1
55,103.07,103.61,102.8,103.31,2240783,271,1
56,102.99,103.32,102.536,103.19,1750213,271,1
57,103.25,104.55,102.96,103.29,2609668,271,1
58,103.46,105.0,103.27,104.55,2375451,271,1
59,105.05,105.678,104.09,105.38,2423091,271,1
60,105.11,105.38,103.93,104.47,1774832,271,1
61,104.6,104.92,104.16,104.51,1632515,271,1
62,104.43,104.62,103.726,104.27,1582588,271,1
63,104.23,104.41,102.64,102.97,2527502,271,1
64,102.94,103.45,102.54,103.43,1950317,271,1
65,103.46,104.0,102.97,103.71,1281725,271,1
66,103.94,105.07,103.87,105.06,1439508,271,1
67,104.64,104.76,104.15,104.62,2537259,271,1
68,104.28,104.35,103.511,103.75,2212603,271,1
69,103.85,104.39,103.28,104.35,2576897,271,1
70,104.13,104.17,102.65,102.87,1749244,271,1
71,103.01,103.01,101.49,101.91,2979330,271,1
72,101.75,103.03,101.58,102.15,2400082,271,1
73,101.31,103.25,101.09,102.54,6744062,271,1
74,102.51,103.53,102.02,103.51,6421767,271,1
75,104.26,104.62,103.86,104.53,6976364,271,1
76,103.82,103.88,99.43,99.49,4738850,271,1
77,99.76,100.96,99.63,100.31,2080116,271,1
78,100.0,100.16,96.8225,96.83,4043858,271,1
79,97.0,97.12,95.5101,96.7,4350369,271,1
80,96.61,98.09,96.49,97.58,2996347,271,1
81,96.68,96.68,95.68,95.71,1932930,271,1
82,95.41,96.35,94.57,96.35,3160364,271,1
83,97.18,98.0,96.56,97.12,2011569,271,1
84,97.09,97.61,96.18,97.57,2071296,271,1
85,96.98,98.51,96.56,97.95,1924967,271,1
86,98.77,98.95,96.79,96.81,2280799,271,1
87,96.93,98.05,96.57,97.57,2494105,271,1
88,97.57,98.75,97.47,97.86,2252409,271,1
89,98.31,99.59,98.3,99.54,1937385,271,1
90,99.68,99.68,98.87,99.44,1659282,271,1
91,98.99,99.4,96.46,96.5,2330743,271,1
92,95.875,95.875,93.81,94.66,5431272,271,1
93,95.73,96.42,94.83,95.78,3771700,271,1
94,94.64,96.05,93.76,95.09,2368260,271,1
95,95.7,96.06,94.41,95.6,1906061,271,1
96,96.41,97.3,96.27,96.99,2137469,271,1
97,97.48,98.189,97.15,97.32,1685882,271,1
98,97.0,97.54,96.43,97.14,2488673,271,1
99,96.88,98.05,96.88,97.17,1482000,271,1
100,97.38,97.91,96.64,97.04,1253078,271,1
101,96.84,97.41,96.03,97.03,940488,271,1
102,97.43,97.58,96.09,97.39,929612,271,1
103,97.93,98.59,97.542,98.07,1545578,271,1
104,98.69,99.08,98.32,98.53,1137536,271,1
105,98.72,98.97,98.0,98.59,1850461,271,1
106,99.48,99.85,98.92,99.65,1733492,271,1
107,99.42,99.93,99.25,99.88,1148883,271,1
108,99.89,100.21,99.07,100.12,1386361,271,1
109,99.89,100.27,99.52,100.19,2159278,271,1
110,100.67,100.806,99.52,99.64,1404283,271,1
111,99.75,100.02,98.79,98.91,2242421,271,1
112,98.94,99.49,98.16,99.49,2922096,271,1
113,97.46,98.91,96.14,97.68,3239921,271,1
114,97.68,98.365,96.58,98.2,2351830,271,1
115,98.18,98.3,97.67,97.85,1606458,271,1
116,97.82,98.79,97.63,98.47,1196650,271,1
117,98.34,98.59,97.44,98.39,1328888,271,1
118,98.19,98.69,97.91,98.14,935088,271,1
119,98.54,98.98,97.7,97.96,1106665,271,1
120,97.91,99.27,97.91,98.8,1939460,271,1
121,99.44,99.99,98.25,98.79,1819741,271,1
122,98.67,99.64,98.16,99.61,1809155,271,1
123,99.27,99.69,99.02,99.32,1229655,271,1
124,99.26,99.92,99.13,99.74,1202863,271,1
125,99.33,99.5499,98.62,98.96,1147054,271,1
126,99.14,99.16,97.83,98.57,1363503,271,1
127,98.42,98.92,98.01,98.53,1194650,271,1
128,98.09,98.41,97.45,98.3,1035328,271,1
129,98.39,98.97,97.8,98.14,1082131,271,1
130,97.94,98.24,96.6,96.78,1751781,271,1
131,96.51,96.7,95.74,95.8,1523024,271,1
132,95.56,95.61,94.88,94.94,2132921,271,1
133,94.9,94.93,94.21,94.6,1477279,271,1
134,94.6,95.66,94.4,94.99,1228377,271,1
135,94.85,94.9299,94.01,94.08,1220245,271,1
136,94.12,96.31,93.6,95.61,2072112,271,1
137,95.99,96.24,95.51,95.89,1073508,271,1
138,95.93,96.08,94.51,94.53,1017923,271,1
139,93.67,94.05,92.7152,93.53,1863172,271,1
140,93.32,93.35,92.5,92.53,1399259,271,1
141,92.2,93.31,92.0,92.95,1203174,271,1
142,93.21,93.59,92.77,93.48,1701437,271,1
143,94.16,94.22,92.45,92.64,1846531,271,1
144,92.45,92.71,91.44,92.49,1508480,271,1
145,92.39,92.45,91.6,92.27,1314214,271,1
146,92.52,93.59,92.0,93.06,1553631,271,1
147,93.03,93.61,92.8,93.61,1537123,271,1
148,94.1,94.52,93.2801,93.9,1276791,271,1
149,93.69,94.59,93.23,94.56,1265441,271,1
150,94.57,95.45,94.3875,94.85,1355459,271,1
151,95.16,95.92,95.0407,95.69,1175623,271,1
152,96.55,96.95,96.2,96.43,1087966,271,1
153,96.44,96.87,96.03,96.36,1000115,271,1
154,96.4,97.735,96.05,97.71,1412712,271,1
155,97.91,97.98,96.68,97.2,1515665,271,1
156,97.09,97.2,96.19,96.2,1675611,271,1
157,96.16,96.28,95.26,95.79,1198616,271,1
158,95.75,96.01,95.3,95.37,1238003,271,1
159,95.67,96.1,94.6,94.69,1664809,271,1
160,94.91,95.53,94.75,95.46,916661,271,1
161,95.17,95.34,94.091,94.79,989014,271,1
162,94.4,94.89,93.78,94.22,1775637,271,1
163,93.49,94.62,93.42,94.38,1369467,271,1
164,94.23,94.27,93.2,94.26,1456414,271,1
165,94.26,94.7302,93.31,94.44,1768297,271,1
166,94.38,94.79,94.03,94.26,1182567,271,1
167,93.81,94.65,93.55,93.86,984946,271,1
168,93.51,94.12,93.12,93.19,2020142,271,1
169,93.55,95.0,93.2,94.28,2058729,271,1
170,94.99,95.94,94.57,95.93,1246343,271,1
171,95.85,97.01,95.3,96.95,1186556,271,1
172,96.45,96.97,96.22,96.96,1484557,271,1
173,96.91,96.97,96.34,96.55,1302810,271,1
174,97.03,98.4,96.86,98.0,1509311,271,1
175,97.65,99.24,97.54,99.04,1453573,271,1
176,99.63,99.63,98.49,99.18,1794663,271,1
177,98.83,98.8826,98.0,98.83,1912590,271,1
178,102.43,103.48,100.83,102.97,3609470,271,1
179,102.22,105.32,102.19,104.96,2895545,271,1
180,104.72,105.05,104.17,104.21,1776817,271,1
181,104.0,105.56,103.62,105.51,1455045,271,1
182,105.5061,107.84,105.27,107.31,2405417,271,1
183,107.42,108.21,107.01,108.17,2199679,271,1
184,108.33,108.56,107.01,107.9,1688231,271,1
185,107.89,108.39,107.15,108.0,1377661,271,1
186,107.87,108.29,107.27,108.01,1528423,271,1
187,108.05,108.88,107.54,108.85,1239009,271,1
188,108.54,109.04,108.05,108.81,996915,271,1
189,108.96,109.715,108.34,109.63,1237267,271,1
190,109.66,109.68,107.73,107.88,1564172,271,1
191,107.88,108.1,106.721,108.03,1661172,271,1
192,108.03,108.75,107.825,107.96,913192,271,1
193,107.89,108.4,107.47,108.21,1217972,271,1
194,107.74,108.85,107.57,108.84,1172753,271,1
195,109.1,109.91,108.85,109.71,1285319,271,1
196,111.54,111.68,108.28,109.26,3320069,271,1
197,109.0,109.44,107.59,108.0,2535850,271,1
198,107.74,108.1486,107.39,107.88,1971049,271,1
199,107.84,108.87,107.57,107.82,1259820,271,1
200,108.05,108.53,107.71,107.92,4700508,271,1
201,107.74,109.29,107.74,109.0,6458753,271,1
202,108.99,109.37,108.16,108.36,1031124,271,1
203,108.44,108.89,108.13,108.13,1697082,271,1
204,108.22,108.39,107.51,108.22,1210197,271,1
205,108.25,109.54,108.14,109.16,1481539,271,1
206,108.86,109.4,107.04,107.15,2323156,271,1
207,106.59,106.74,105.51,106.48,3001302,271,1
208,105.0,105.13,104.04,104.2,2694032,271,1
209,104.03,104.3,103.42,103.9,2075006,271,1
210,104.75,105.6,104.73,105.58,1850749,271,1
211,105.85,106.23,105.38,105.83,1289830,271,1
212,105.42,105.5,104.58,104.91,1620494,271,1
213,105.16,106.17,104.97,105.38,1650341,271,1
